# Source: https://github.com/bahar/WorldCityLocations
Namibe, Angola	-15.1961111 12.1522226
Soyo, Angola	-6.1333333 12.3666668
Cabinda, Angola	-5.5500000 12.1999998
Uige, Angola	-7.6166667 15.0500002
Saurimo, Angola	-9.6500000 20.3999996
Sumbe, Angola	-11.2000000 13.8333330
Caluquembe, Angola	-13.7833333 14.6833334
Caxito, Angola	-8.5800000 13.6641665
Longonjo, Angola	-12.9066667 15.2533331
Caala, Angola	-12.8525000 15.5605555
Luena, Angola	-11.7833333 19.9166660
Lucapa, Angola	-8.4166667 20.7500000
Camacupa, Angola	-12.0166667 17.4833336
Catabola, Angola	-12.1500000 17.2833328
Luau, Angola	-10.7000000 22.2333336
Catumbela, Angola	-12.4313889 13.5472221
Camabatela, Angola	-8.1833333 15.3666668
Waku Kungo, Angola	-11.3500000 15.1166668
Caconda, Angola	-13.7333333 15.0666666
Ondjiva, Angola	-17.0666667 15.7333336
Quibala, Angola	-10.7333333 14.9833336
Chissamba, Angola	-12.1666667 17.3333340
Leua, Angola	-11.6500000 20.4500008
Lumeje, Angola	-11.5500000 20.7833328
Cazage, Angola	-11.0666667 20.7000008
Buenos Aires, Argentina	-34.5761256 -58.4088135
Cordoba, Argentina	-31.4000000 -64.1833344
Rosario, Argentina	-32.9511111 -60.6663895
Mendoza, Argentina	-32.8833333 -68.8166656
San Miguel de Tucuman, Argentina	-26.8166667 -65.2166672
La Plata, Argentina	-34.9313889 -57.9488907
Mar del Plata, Argentina	-38.0000000 -57.5499992
Quilmes, Argentina	-34.7202778 -58.2694435
Salta, Argentina	-24.7833333 -65.4166641
Santa Fe, Argentina	-31.6333333 -60.7000008
San Juan, Argentina	-31.5375000 -68.5363922
Resistencia, Argentina	-27.4500000 -58.9833336
Santiago del Estero, Argentina	-27.7833333 -64.2666702
Corrientes, Argentina	-27.4666667 -58.8333321
Posadas, Argentina	-27.3833333 -55.8833351
San Salvador de Jujuy, Argentina	-24.1833333 -65.3000031
Bahia Blanca, Argentina	-38.7166667 -62.2833328
Parana, Argentina	-31.7333333 -60.5333328
Neuquen, Argentina	-38.9500000 -68.0666656
Formosa, Argentina	-26.1833333 -58.1833344
San Fernando del Valle de Catamarca, Argentina	-28.4666667 -65.7833328
San Luis, Argentina	-33.3000000 -66.3499985
La Rioja, Argentina	-29.4333333 -66.8499985
Rio Cuarto, Argentina	-33.1333333 -64.3499985
Concordia, Argentina	-31.4000000 -58.0333328
Comodoro Rivadavia, Argentina	-45.8666667 -67.5000000
San Nicolas de los Arroyos, Argentina	-33.3302778 -60.2269440
Santa Rosa, Argentina	-36.6166667 -64.2833328
San Rafael, Argentina	-34.6000000 -68.3333359
Tandil, Argentina	-37.3166667 -59.1500015
San Carlos de Bariloche, Argentina	-41.1500000 -71.3000031
Trelew, Argentina	-43.2489539 -65.3050537
Villa Maria, Argentina	-32.4166667 -63.2500000
Reconquista, Argentina	-29.1500000 -59.6500015
Zarate, Argentina	-34.0922222 -59.0349998
Rafaela, Argentina	-31.2666667 -61.4833336
Pergamino, Argentina	-33.8925000 -60.5724983
Olavarria, Argentina	-36.9000000 -60.2833328
Rio Gallegos, Argentina	-51.6333333 -69.2166672
Junin, Argentina	-34.5850000 -60.9588890
San Martin, Argentina	-33.0666667 -68.4666672
Presidencia Roque Saenz Pena, Argentina	-26.7833333 -60.4500008
Lujan, Argentina	-34.5702778 -59.1049995
Campana, Argentina	-34.1769444 -58.9208336
Necochea, Argentina	-38.5500000 -58.7500000
Gualeguaychu, Argentina	-33.0102778 -58.5141678
San Ramon de la Nueva Oran, Argentina	-23.1322304 -64.3259811
